w,x,y,z,Time
1,0,0,0,0
1,0,0,0,0.050000000745058
1,0,0,0,0.10000000149012
1,0,0,0,0.15000000596046
1,0,0,0,0.20000000298023
1,0,0,0,0.25
1,0,0,0,0.30000001192093
1,0,0,0,0.34999999403954
1,0,0,0,0.40000000596046
1,0,0,0,0.44999998807907
1,0,0,0,0.5
1,0,0,0,0.55000001192093
1,0,0,0,0.60000002384186
1,0,0,0,0.64999997615814
1,0,0,0,0.69999998807907
1,0,0,0,0.75
1,0,0,0,0.80000001192093
1,0,0,0,0.85000002384186
1,0,0,0,0.89999997615814
1,0,0,0,0.94999998807907
1,0,0,0,1
1,0,0,0,1.0499999523163
1,0,0,0,1.1000000238419
1,0,0,0,1.1499999761581
1,0,0,0,1.2000000476837
1,0,0,0,1.25
1,0,0,0,1.2999999523163
1,0,0,0,1.3500000238419
1,0,0,0,1.3999999761581
1,0,0,0,1.4500000476837
1,0,0,0,1.5
1,0,0,0,1.5499999523163
1,0,0,0,1.6000000238419
1,0,0,0,1.6499999761581
1,0,0,0,1.7000000476837
1,0,0,0,1.75
1,0,0,0,1.7999999523163
1,0,0,0,1.8500000238419
1,0,0,0,1.8999999761581
1,0,0,0,1.9500000476837
1,0,0,0,2
1,0,0,0,2.0499999523163
1,0,0,0,2.0999999046326
1,0,0,0,2.1500000953674
1,0,0,0,2.2000000476837
1,0,0,0,2.25
1,0,0,0,2.2999999523163
1,0,0,0,2.3499999046326
1,0,0,0,2.4000000953674
1,0,0,0,2.4500000476837
1,0,0,0,2.5
1,0,0,0,2.5499999523163
1,0,0,0,2.5999999046326
1,0,0,0,2.6500000953674
1,0,0,0,2.7000000476837
1,0,0,0,2.75
1,0,0,0,2.7999999523163
1,0,0,0,2.8499999046326
1,0,0,0,2.9000000953674
1,0,0,0,2.9500000476837
1,0,0,0,3
1,0,0,0,3.0499999523163
1,0,0,0,3.0999999046326
1,0,0,0,3.1500000953674
1,0,0,0,3.2000000476837
1,0,0,0,3.25
1,0,0,0,3.2999999523163
1,0,0,0,3.3499999046326
1,0,0,0,3.4000000953674
1,0,0,0,3.4500000476837
1,0,0,0,3.5
1,0,0,0,3.5499999523163
1,0,0,0,3.5999999046326
1,0,0,0,3.6500000953674
1,0,0,0,3.7000000476837
1,0,0,0,3.75
1,0,0,0,3.7999999523163
1,0,0,0,3.8499999046326
1,0,0,0,3.9000000953674
1,0,0,0,3.9500000476837
1,0,0,0,4
1,0,0,0,4.0500001907349
1,0,0,0,4.0999999046326
1,0,0,0,4.1500000953674
1,0,0,0,4.1999998092651
1,0,0,0,4.25
1,0,0,0,4.3000001907349
1,0,0,0,4.3499999046326
1,0,0,0,4.4000000953674
1,0,0,0,4.4499998092651
1,0,0,0,4.5
1,0,0,0,4.5500001907349
1,0,0,0,4.5999999046326
1,0,0,0,4.6500000953674
1,0,0,0,4.6999998092651
1,0,0,0,4.75
1,0,0,0,4.8000001907349
1,0,0,0,4.8499999046326
1,0,0,0,4.9000000953674
1,0,0,0,4.9499998092651
1,0,0,0,5
1,0,0,0,5.0500001907349
1,0,0,0,5.0999999046326
1,0,0,0,5.1500000953674
1,0,0,0,5.1999998092651
1,0,0,0,5.25
1,0,0,0,5.3000001907349
1,0,0,0,5.3499999046326
1,0,0,0,5.4000000953674
1,0,0,0,5.4499998092651
1,0,0,0,5.5
1,0,0,0,5.5500001907349
1,0,0,0,5.5999999046326
1,0,0,0,5.6500000953674
1,0,0,0,5.6999998092651
1,0,0,0,5.75
1,0,0,0,5.8000001907349
1,0,0,0,5.8499999046326
1,0,0,0,5.9000000953674
1,0,0,0,5.9499998092651
1,0,0,0,6
1,0,0,0,6.0500001907349
1,0,0,0,6.0999999046326
1,0,0,0,6.1500000953674
1,0,0,0,6.1999998092651
1,0,0,0,6.25
1,0,0,0,6.3000001907349
1,0,0,0,6.3499999046326
1,0,0,0,6.4000000953674
1,0,0,0,6.4499998092651
1,0,0,0,6.5
1,0,0,0,6.5500001907349
1,0,0,0,6.5999999046326
1,0,0,0,6.6500000953674
1,0,0,0,6.6999998092651
1,0,0,0,6.75
1,0,0,0,6.8000001907349
1,0,0,0,6.8499999046326
1,0,0,0,6.9000000953674
1,0,0,0,6.9499998092651
1,0,0,0,7
1,0,0,0,7.0500001907349
1,0,0,0,7.0999999046326
1,0,0,0,7.1500000953674
1,0,0,0,7.1999998092651
1,0,0,0,7.25
1,0,0,0,7.3000001907349
1,0,0,0,7.3499999046326
1,0,0,0,7.4000000953674
1,0,0,0,7.4499998092651
1,0,0,0,7.5
1,0,0,0,7.5500001907349
1,0,0,0,7.5999999046326
1,0,0,0,7.6500000953674
1,0,0,0,7.6999998092651
1,0,0,0,7.75
1,0,0,0,7.8000001907349
1,0,0,0,7.8499999046326
1,0,0,0,7.9000000953674
1,0,0,0,7.9499998092651
1,0,0,0,8
1,0,0,0,8.0500001907349
1,0,0,0,8.1000003814697
1,0,0,0,8.1499996185303
1,0,0,0,8.1999998092651
1,0,0,0,8.25
1,0,0,0,8.3000001907349
1,0,0,0,8.3500003814697
1,0,0,0,8.3999996185303
1,0,0,0,8.4499998092651
1,0,0,0,8.5
1,0,0,0,8.5500001907349
1,0,0,0,8.6000003814697
1,0,0,0,8.6499996185303
1,0,0,0,8.6999998092651
1,0,0,0,8.75
1,0,0,0,8.8000001907349
1,0,0,0,8.8500003814697
1,0,0,0,8.8999996185303
1,0,0,0,8.9499998092651
1,0,0,0,9
1,0,0,0,9.0500001907349
1,0,0,0,9.1000003814697
1,0,0,0,9.1499996185303
1,0,0,0,9.1999998092651
1,0,0,0,9.25
1,0,0,0,9.3000001907349
1,0,0,0,9.3500003814697
1,0,0,0,9.3999996185303
1,0,0,0,9.4499998092651
1,0,0,0,9.5
1,0,0,0,9.5500001907349
1,0,0,0,9.6000003814697
1,0,0,0,9.6499996185303
